Ordinal,Type,Added,AST
0,MULTI,5,31
1,CONTROL,3,31
2,VAR,2,31
3,VALUE,1,31
0,MULTI,69,8
1,CONTROL,36,8
2,VAR,2,8
3,VALUE,37,8
0,MULTI,4,4
1,CONTROL,4,4
0,MULTI,2,0
3,VALUE,2,0
0,MULTI,1,6
2,VAR,1,6
3,VALUE,1,6
0,MULTI,23,94
1,CONTROL,20,94
2,VAR,7,94
3,VALUE,7,94
0,MULTI,2,2
3,VALUE,2,2
0,MULTI,2,3
1,CONTROL,2,3
0,MULTI,15,18
1,CONTROL,5,18
3,VALUE,10,18
0,MULTI,6,4
3,VALUE,6,4
0,MULTI,53,49
1,CONTROL,11,49
3,VALUE,44,49
0,MULTI,2,17
2,VAR,1,17
3,VALUE,1,17
0,MULTI,7,4
1,CONTROL,6,4
3,VALUE,1,4
0,MULTI,8,13
1,CONTROL,8,13
3,VALUE,6,13
0,MULTI,3,6
2,VAR,1,6
3,VALUE,3,6
0,MULTI,6,4
1,CONTROL,6,4
0,MULTI,2,2
3,VALUE,2,2
0,MULTI,66,57
1,CONTROL,64,57
2,VAR,2,57
3,VALUE,2,57
0,MULTI,3,9
3,VALUE,3,9
0,MULTI,14,10
1,CONTROL,14,10
0,MULTI,8,8
2,VAR,5,8
3,VALUE,3,8
0,MULTI,46,66
1,CONTROL,46,66
0,MULTI,3,0
3,VALUE,3,0
0,MULTI,3,9
2,VAR,2,9
3,VALUE,3,9
0,MULTI,1,33
2,VAR,1,33
3,VALUE,1,33
0,MULTI,6,1
3,VALUE,6,1
0,MULTI,8,3
3,VALUE,8,3
0,MULTI,26,85
1,CONTROL,22,85
2,VAR,1,85
3,VALUE,6,85
0,MULTI,26,68
2,VAR,16,68
3,VALUE,14,68
0,MULTI,6,4
3,VALUE,6,4
0,MULTI,15,0
1,CONTROL,13,0
3,VALUE,12,0
0,MULTI,31,8
3,VALUE,31,8
0,MULTI,5,41
2,VAR,5,41
3,VALUE,5,41
0,MULTI,1,2
2,VAR,1,2
3,VALUE,1,2
0,MULTI,55,36
1,CONTROL,55,36
3,VALUE,4,36
0,MULTI,3,3
2,VAR,3,3
3,VALUE,3,3
0,MULTI,20,14
3,VALUE,20,14
0,MULTI,5,0
3,VALUE,5,0
